topic,dajare,pun_score,cold_score,scene_score,addictive_score,speed_score,penalty
"キュート","かなりヤバい客がカナリヤ売却",18,17,10,14,12,50
"キュート","いつの間に、it's no money",17,15,8,13,4,50
"キュート","隠し事を各誌ごとに書く仕事",19,14,7,15,19,50
"キュート","ホラ吹く上司が…ほら、腹上死",16,18,12,11,7,50
"キュート","マジかわいいけど、間近はいい",15,12,6,10,3,0
"汚い","ギフト券貸したことで、義父と喧嘩した。",14,13,5,9,18,50
"汚い","いいヅラ買ったこと、言いづらかった…",18,16,6,12,6,50
"汚い","要精密検査でも陽性見つけんさ",17,14,7,10,11,50
"汚い","メグ・ライアンに似てるの、目ぐらいやん。",16,15,6,12,9,50
"汚い","よくできた内容ですが、欲で汚いようです。",15,14,5,11,2,0
"都会","有名クラブで、You make love.",18,17,8,14,13,50
"都会","こっから近いし、国家拉致開始",17,16,10,13,5,50
"都会","秋刀魚三万匹をさんまさん万引き",19,16,9,15,17,50
"都会","モノが勃ってるのを、物語ってる。",16,18,11,12,8,50
"都会","「都会って汚ねえ。」とか言ってきたねぇ。",15,15,7,10,14,0
"老人","佐賀市に有るか無いか？ 捜しに歩かないか？",18,14,6,13,1,50
"老人","対人恐怖症のタイ人、今日負傷。",17,15,7,12,16,50
"老人","「イワシ・タイ・ナマズ」って言わしたいな、まず。",18,14,8,14,10,50
"老人","ですます口調で済ます区長。",16,13,5,11,20,50
"老人","自慰三回し、爺さん怪死。",15,18,12,10,3,0
"病院","ねっとり容赦なくてネット利用者泣く",17,14,6,12,15,50
"病院","お正月行ったと和尚がツイッター",16,15,7,11,9,50
"病院","神の啓示で髪の毛維持",17,13,5,12,6,50
"病院","おバカそうな叔母仮装",14,12,4,9,19,50
"病院","9秒95で急病救護。",15,13,6,10,4,0
"男女関係","あなた毛布取らないで！お前ももう太らないで！！",16,15,8,11,7,50
"男女関係","妖怪なら下で、よう飼い慣らしたで",17,16,10,13,5,50
"男女関係","猛暑が無い都市に来ているのは、もう、しょうがない歳にきているから。",15,14,7,10,18,50
"男女関係","アレクサ、異様にあれ臭いよう！",16,15,8,12,2,50
"男女関係","密会情事したら3日以上痔",17,16,9,12,11,0
"野球","新弟子埋葬したら死んでしまいそう",18,15,10,13,8,50
"野球","産科医浴場で三回欲情",16,17,11,12,14,50
"野球","猛火阪神打線でもう下半身出せん",17,16,12,13,1,0
"野球","計5回 会った相手に 敬語かい？",15,13,5,10,16,50
"野球","後輩異性と後背位せい",16,17,11,12,3,50
"食べ物","教員主導で今日飲酒どう？",15,14,6,11,20,50
"食べ物","ホワイトデー、手ぶらの俺に「Why, today？」",17,15,7,12,9,50
"食べ物","医院で内科医が「いいんでないかい？」",16,14,6,11,13,50
"食べ物","フロアが利用中だから風呂上がり要注意！",15,13,5,10,12,50
"食べ物","食いにくい肉、胃に来る。",18,14,6,13,4,0
"乗り物","お天気相談所で、汚点競う男女",16,13,7,11,17,50
"乗り物","カナリヤ少ないけど、かなり安くない？",17,14,6,12,6,50
"乗り物","性トーク解禁で生徒多く皆勤",16,16,8,12,10,50
"乗り物","猛吹雪になる日は毛布、武器になる",18,15,10,14,15,50
"乗り物","都バスで生死かけ、飛ばすで精子",17,17,11,13,7,0
"政治","イタリア縦断していたリア充男子",16,14,7,11,5,50
"政治","地上階を痴女迂回",16,17,10,12,14,50
"政治","誘導尋問にもYOU動じんもん",17,15,8,13,6,50
"政治","入退院を繰り返すニュー隊員、送り返す",18,14,7,14,9,50
"政治","前々期に政変？全然気にせえへん",15,13,6,10,18,0
"趣味","余命診断で4名死んだん？",16,16,9,11,3,50
"趣味","地元区長は痔も特徴",17,15,7,12,5,50
"趣味","死んじゃいそうな信者、移送。",16,17,10,12,11,50
"趣味","お優しそうですが、親刺しそうです",15,16,9,10,7,50
